content_key,content_item_id,content_item_version_id,subject_key,item_type,proposed_unit,proposed_topic_code,proposed_topic_title,basis,confidence,rationale,alternative_topic_code,signal_conflict,needs_human,taxonomy_source_version,previous_topic_code,defect_class,evidence_fields_used
APSTAT-MOD6-H002-INV,a067f214-64d3-48f4-b267-c41ce5fc5e5d,c93a7c33-587b-48dc-9aaf-929e9e3cccc0,ap-statistics,frq,5,5.3,Linear Regression Models,manual_semantic_review,high,Assigned to 5.3 because the manual semantic review evidence matches Linear Regression Models.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,5.5,,stem;stimulus;rubric
APSTAT-MOD6-M002,5808c609-bc29-476a-a404-afa15124ebf3,0d1808ac-8b62-472d-abcb-1d7edd5184ab,ap-statistics,frq,4,4.3,Justifying a Claim Based on a Confidence Interval for a Population Mean or Population Mean Difference,manual_semantic_review,high,Assigned to 4.3 because the manual semantic review evidence matches Justifying a Claim Based on a Confidence Interval for a Population Mean or Population Mean Difference.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.10,,stem;stimulus;rubric
APSTAT-MOD7-H002-INV,7d8d53e7-8dc5-4175-b972-688ffe5f9edf,9817ead7-52af-493f-b7ef-dc30c3c4d904,ap-statistics,frq,3,3.15,Carrying Out a Chi-Square Test for Homogeneity or Independence,manual_semantic_review,high,Assigned to 3.15 because the manual semantic review evidence matches Carrying Out a Chi-Square Test for Homogeneity or Independence.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.14,,stem;stimulus;rubric
APSTAT-MOD8-M004,35c5517b-23ad-497f-8eb5-10a36b7bcc11,b7db04ce-be58-44b8-bbec-2be286e254d9,ap-statistics,frq,5,5.3,Linear Regression Models,manual_semantic_review,high,Assigned to 5.3 because the manual semantic review evidence matches Linear Regression Models.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,unit_misclassification,stem;stimulus;rubric
apstats-frq-u12-001,0d5cc3fa-48fa-44d6-a0c9-c8e9d6067a6e,1300dd2b-de29-4d8b-a990-376c8d3ff876,ap-statistics,frq,1,1.4,Graphical Representations for One Categorical Variable,author_topic_metadata,high,Assigned to 1.4 because the author topic metadata evidence matches Graphical Representations for One Categorical Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.8,,subtopics
apstats-frq-u12-002,d49c417a-ffc9-4836-a070-bd356e021b69,2899b6c0-815c-4b54-a8a3-1f912e11d97d,ap-statistics,frq,2,2.4,Introduction to Probability,author_topic_metadata,high,Assigned to 2.4 because the author topic metadata evidence matches Introduction to Probability.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.5,,subtopics
apstats-frq-u12-003,614b65b6-f98c-4319-ae0a-b540ce47233d,f8ebd5b5-6ac8-405f-a564-bb6b0dfb0759,ap-statistics,frq,1,1.11,Random Sampling,author_topic_metadata,high,Assigned to 1.11 because the author topic metadata evidence matches Random Sampling.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.11,,subtopics
apstats-frq-u12-004,66dba214-f1d0-41ba-a52e-1e16996ce0d7,a01f2bff-79df-4a27-a7d8-39a12a4cb5df,ap-statistics,frq,1,1.6,Descriptions for One Quantitative Variable Distributions,author_topic_metadata,high,Assigned to 1.6 because the author topic metadata evidence matches Descriptions for One Quantitative Variable Distributions.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.6,,subtopics
apstats-frq-u12-005,c19e2b4d-b0f5-4944-a4d9-46840f005aab,804d26da-67ae-4acf-8ad8-dc33c2459f67,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,author_topic_metadata,high,Assigned to 1.8 because the author topic metadata evidence matches Graphical Representations of Summary Statistics for One Quantitative Variable.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.8,,subtopics
apstats-frq-u12-006,c9e06a78-dfe6-49eb-a069-5a3bf2aa1ad7,5a68fcbc-4c45-4bdc-ae2a-4acbcfaf79ac,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,author_topic_metadata,high,Assigned to 2.1 because the author topic metadata evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.1,,subtopics
apstats-frq-u12-007,fd23b590-846f-49cc-a45d-16ff3d187c67,09c01266-44ef-4639-af6e-b9f8016b8211,ap-statistics,frq,2,2.6,Conditional Probability,author_topic_metadata,high,Assigned to 2.6 because the author topic metadata evidence matches Conditional Probability.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.11,,subtopics
apstats-frq-u12-008,ee476290-e8fa-491d-ad5f-49a9e4a51f25,ff256908-1a1d-4138-a396-0f24d1e0a8e4,ap-statistics,frq,2,2.9,Parameters of Random Variables,author_topic_metadata,high,Assigned to 2.9 because the author topic metadata evidence matches Parameters of Random Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.2,,subtopics
apstats-frq-u12-009,d96694c3-cce5-407b-ae36-1656d7ce1164,350a6f19-505d-476e-a513-f7cc14473966,ap-statistics,frq,2,2.10,The Binomial Distribution,author_topic_metadata,high,Assigned to 2.10 because the author topic metadata evidence matches The Binomial Distribution.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.1,,subtopics
apstats-frq-u12-010,8a42ff98-03a4-4ba2-ac27-296c1932def9,22897ba4-5b51-473d-a7dc-ea9012892f99,ap-statistics,frq,1,1.13,Experimental Design,author_topic_metadata,high,Assigned to 1.13 because the author topic metadata evidence matches Experimental Design.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.11,,subtopics
apstats-frq-u12-011,a4913da2-8e3b-4524-af90-74a5eb559735,9a053602-a9d5-4a4a-a641-afb2d8fc9f11,ap-statistics,frq,2,2.11,The Normal Distribution,author_topic_metadata,high,Assigned to 2.11 because the author topic metadata evidence matches The Normal Distribution.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,4.3,,subtopics
apstats-frq-u12-012,4621efff-f4e8-4fd8-ac47-0c5600406d6c,3ffe16de-35ff-46ed-ad96-6709fc159cd4,ap-statistics,frq,1,1.9,Comparisons of the Distributions for One Quantitative Variable,author_topic_metadata,high,Assigned to 1.9 because the author topic metadata evidence matches Comparisons of the Distributions for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,4.8,,subtopics
apstats-frq-u12-013,f7dbe26b-eb58-4ae1-a30a-c31b65767ee3,4b713cd8-0e04-477c-ac93-1cc73faf2315,ap-statistics,frq,1,1.12,Potential Problems with Sampling,author_topic_metadata,high,Assigned to 1.12 because the author topic metadata evidence matches Potential Problems with Sampling.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.12,,subtopics
apstats-frq-u12-014,f4ca034a-6b6b-4a24-ae04-4ffb82eef35f,f3b2730e-2ea9-4ab9-ad22-01566fa117e3,ap-statistics,frq,2,2.3,Estimating Probabilities Using Simulation,author_topic_metadata,high,Assigned to 2.3 because the author topic metadata evidence matches Estimating Probabilities Using Simulation.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.3,,subtopics
apstats-frq-u12-015,c15d8495-3926-4af0-a56d-b0ebd3901957,0838c759-dc87-4acf-ac86-06057344b531,ap-statistics,frq,2,2.5,Mutually Exclusive Events,author_topic_metadata,high,Assigned to 2.5 because the author topic metadata evidence matches Mutually Exclusive Events.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.5,,subtopics
apstats-frq-u12-016,81508254-a2e0-4906-ae6f-e7a63e0ad431,c41a14bc-0ecb-42a3-ac92-4837389d9ac5,ap-statistics,frq,2,2.8,Introduction to Random Variables and Probability Distributions,author_topic_metadata,high,Assigned to 2.8 because the author topic metadata evidence matches Introduction to Random Variables and Probability Distributions.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.8,,subtopics
apstats-frq-u12-017,dcedcb2b-3c9d-4e14-a931-79ab0e8f47dc,3de3974f-38ba-408d-abe6-69de5d0eff8c,ap-statistics,frq,1,1.3,Tabular Representation and Summary Statistics for One Categorical Variable,author_topic_metadata,high,Assigned to 1.3 because the author topic metadata evidence matches Tabular Representation and Summary Statistics for One Categorical Variable.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,,subtopics
apstats-frq-u12-018,b97d6604-1b56-4a08-a462-9a5b0e4af145,a115bde8-0657-4607-aa4a-4a46ed141af3,ap-statistics,frq,2,2.6,Conditional Probability,author_topic_metadata,high,Assigned to 2.6 because the author topic metadata evidence matches Conditional Probability.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.6,,subtopics
apstats-frq-u12-019,f90a9e1b-6fd9-4158-a668-f4ed22e3f8c6,1147fd77-60f7-4fb4-a485-e0100e05c21f,ap-statistics,frq,2,2.12,Sampling Distributions and the Central Limit Theorem,author_topic_metadata,high,Assigned to 2.12 because the author topic metadata evidence matches Sampling Distributions and the Central Limit Theorem.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.12,,subtopics
apstats-frq-u12-020,995aa8dd-b257-4228-a066-a045d75fcb58,3449fff0-009e-4ffc-ac1f-ef1c77c0b670,ap-statistics,frq,1,1.7,Summary Statistics for One Quantitative Variable,author_topic_metadata,high,Assigned to 1.7 because the author topic metadata evidence matches Summary Statistics for One Quantitative Variable.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.7,,subtopics
APSTATS-HDG-2026-GRAPH-003,88d04972-a32f-45c0-ba36-88f89a20e76a,3c820650-f346-41be-8d54-e22610c4f03f,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,rubric_stimulus_review,high,Assigned to 2.1 because the rubric stimulus review evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-005,247fa43c-12a1-4325-9e4a-3d2ac12ca337,51978e67-36b4-4df8-847d-7b8d7f83261d,ap-statistics,frq,5,5.1,Graphical Representations Between Two Quantitative Variables,rubric_stimulus_review,high,Assigned to 5.1 because the rubric stimulus review evidence matches Graphical Representations Between Two Quantitative Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,5.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-007,417f613e-9b7d-4006-a7ad-7af2192740d7,1fc2f56e-35c3-4713-8d55-5f39fddfff46,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.8 because the rubric stimulus review evidence matches Graphical Representations of Summary Statistics for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-008,778dd6fe-3743-4854-a85d-41ef92621f5b,e3c04930-1dd7-437b-959e-c80b5b60a8c2,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,rubric_stimulus_review,high,Assigned to 2.1 because the rubric stimulus review evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-010,66842193-66be-4a88-83d6-7c3ea74c727e,75e64948-636e-47d8-9326-78e74e6e2b8f,ap-statistics,frq,1,1.5,Graphical Representations for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.5 because the rubric stimulus review evidence matches Graphical Representations for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-013,dabb1c22-319b-43b0-85e8-46fc2156160a,c10fd7cf-3fae-4e59-940f-6741d4412e8d,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.8 because the rubric stimulus review evidence matches Graphical Representations of Summary Statistics for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-014,44955911-e8a2-4692-bbf5-a2371008e2e6,dc2a3c81-acd2-4de2-9dfd-d1e5b03eb45d,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.8 because the rubric stimulus review evidence matches Graphical Representations of Summary Statistics for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-015,4089bbf4-bd0b-4fa5-ba51-74abc72743fc,1aa509c5-ade2-40fc-b5d7-49f450e356ab,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.8 because the rubric stimulus review evidence matches Graphical Representations of Summary Statistics for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-016,95710146-eeba-4389-89db-a86dc33663c7,055efe27-cfbf-4252-a521-8841e7fa14d2,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.8 because the rubric stimulus review evidence matches Graphical Representations of Summary Statistics for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-017,0dc051bb-9021-4fb3-a17e-29d934feb013,39617234-0fbc-4c16-ad1b-6ee50674aed7,ap-statistics,frq,1,1.8,Graphical Representations of Summary Statistics for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.8 because the rubric stimulus review evidence matches Graphical Representations of Summary Statistics for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-018,e175ed67-4d5c-4580-9665-070c7e8bd014,85aa5add-d990-4f1f-a76f-ee4cd87666a9,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,rubric_stimulus_review,high,Assigned to 2.1 because the rubric stimulus review evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-019,b8e5af02-dfec-4250-a74c-9a38a8323fa2,1cbab95b-416f-49e5-bad7-8213024a7144,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,rubric_stimulus_review,high,Assigned to 2.1 because the rubric stimulus review evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-020,dfdfef1f-dd1f-43e4-a636-cb65824c2ef5,e80e66bf-111d-485e-868f-d6dd44d54f3b,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,rubric_stimulus_review,high,Assigned to 2.1 because the rubric stimulus review evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-023,2e2f5711-77bc-436d-9610-0c51b18bf9e0,20927eff-9904-40cd-b79b-02c049d828ed,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,rubric_stimulus_review,high,Assigned to 2.1 because the rubric stimulus review evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-025,ecf62b6d-7462-4724-b009-83a8a821939f,d1e6ab5c-ee1e-4f24-8f52-ab97b1c123e0,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,rubric_stimulus_review,high,Assigned to 2.1 because the rubric stimulus review evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-027,f5d5f18f-37e3-4dec-bb2c-9aa76f0fd002,47c72ae4-287a-4d31-b9d7-9ebbdd42572e,ap-statistics,frq,2,2.1,Tabular and Graphical Representations for the Distributions of Two Categorical Variables,rubric_stimulus_review,high,Assigned to 2.1 because the rubric stimulus review evidence matches Tabular and Graphical Representations for the Distributions of Two Categorical Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-028,9a8bccd1-85e7-4192-a1bb-71aad94ffe4c,a18da3b9-14ed-4bde-ac39-83558ad64eb3,ap-statistics,frq,1,1.5,Graphical Representations for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.5 because the rubric stimulus review evidence matches Graphical Representations for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-030,c63603c5-a620-4b06-aec0-b91d964db1f5,fc46faab-c198-484a-a39c-ba3755945580,ap-statistics,frq,1,1.5,Graphical Representations for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.5 because the rubric stimulus review evidence matches Graphical Representations for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-031,b1ee175c-2ac3-4bbb-8139-761847e05c63,f3762c6e-f6c0-4c34-bb05-c2353bfe6ad3,ap-statistics,frq,1,1.5,Graphical Representations for One Quantitative Variable,rubric_stimulus_review,high,Assigned to 1.5 because the rubric stimulus review evidence matches Graphical Representations for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-HDG-2026-GRAPH-033,ca5f0628-cd55-4293-a6d8-51a1cacb6437,26d6805b-a82d-4db8-b0b2-9a6a73a19ea6,ap-statistics,frq,5,5.1,Graphical Representations Between Two Quantitative Variables,rubric_stimulus_review,high,Assigned to 5.1 because the rubric stimulus review evidence matches Graphical Representations Between Two Quantitative Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,5.5,generic_graph_stem,subtopics;stimulus;rubric
APSTATS-SFRQ-001,cbe1dae5-51e8-4b26-87ff-9e457f3f054e,ec218044-fa22-45a3-9371-7fce48c108e8,ap-statistics,frq,1,1.6,Descriptions for One Quantitative Variable Distributions,legacy_metadata_crosswalk,medium,Assigned to 1.6 because the legacy metadata crosswalk evidence matches Descriptions for One Quantitative Variable Distributions.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.6,,subtopics;stimulus;rubric
APSTATS-SFRQ-002,29737886-6a8a-40e6-9bb9-4825cbe52d8b,1dd34081-fec3-4055-859a-501de5407187,ap-statistics,frq,1,1.7,Summary Statistics for One Quantitative Variable,legacy_metadata_crosswalk,medium,Assigned to 1.7 because the legacy metadata crosswalk evidence matches Summary Statistics for One Quantitative Variable.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.2,,subtopics;stimulus;rubric
APSTATS-SFRQ-003,eb74b80e-3f89-430e-a5a2-741ece5451ef,bcfbc4de-a31c-4957-8137-70b589495688,ap-statistics,frq,5,5.1,Graphical Representations Between Two Quantitative Variables,legacy_metadata_crosswalk,medium,Assigned to 5.1 because the legacy metadata crosswalk evidence matches Graphical Representations Between Two Quantitative Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,5.5,,subtopics;stimulus;rubric
APSTATS-SFRQ-004,271dbf21-91e0-423d-9c01-72dfe57a0dbf,81ce57bf-b576-4d7d-818c-d73eb2a3b952,ap-statistics,frq,5,5.4,Residuals,legacy_metadata_crosswalk,medium,Assigned to 5.4 because the legacy metadata crosswalk evidence matches Residuals.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.2,,subtopics;stimulus;rubric
APSTATS-SFRQ-005,41f14ace-afaa-4882-9902-99207ac705ac,0838c753-d383-48c5-a22f-aab1672eae4f,ap-statistics,frq,1,1.11,Random Sampling,legacy_metadata_crosswalk,medium,Assigned to 1.11 because the legacy metadata crosswalk evidence matches Random Sampling.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.11,,subtopics;stimulus;rubric
APSTATS-SFRQ-007,a1d72619-88fb-44f0-ba0c-6b541c05936b,07ef9bbb-739d-4807-9928-ef02b7d7583f,ap-statistics,frq,2,2.10,The Binomial Distribution,legacy_metadata_crosswalk,medium,Assigned to 2.10 because the legacy metadata crosswalk evidence matches The Binomial Distribution.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.8,,subtopics;stimulus;rubric
APSTATS-SFRQ-008,af56da0a-d966-4882-bafb-d47d10b0b9fd,efc05957-06a3-4b0e-8097-9926841fdaff,ap-statistics,frq,2,2.9,Parameters of Random Variables,legacy_metadata_crosswalk,medium,Assigned to 2.9 because the legacy metadata crosswalk evidence matches Parameters of Random Variables.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,2.8,,subtopics;stimulus;rubric
APSTATS-SFRQ-009,6117e0c1-110a-42de-b2a5-10f719c1cd5d,22c1824d-b601-4050-83ae-edb18b8e98bb,ap-statistics,frq,3,3.2,Sampling Distributions for Sample Proportions,legacy_metadata_crosswalk,medium,Assigned to 3.2 because the legacy metadata crosswalk evidence matches Sampling Distributions for Sample Proportions.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.11,,subtopics;stimulus;rubric
APSTATS-SFRQ-010,b6acbd1b-2851-400a-9761-116bb50712ef,7abbb85e-a697-4db6-bea8-b363bea8f36e,ap-statistics,frq,4,4.1,Sampling Distributions for Sample Means,legacy_metadata_crosswalk,medium,Assigned to 4.1 because the legacy metadata crosswalk evidence matches Sampling Distributions for Sample Means.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.11,,subtopics;stimulus;rubric
APSTATS-SFRQ-011,520c93a1-2eb6-4363-88dd-42b182572364,9c9ba44a-5dd0-4d74-8e92-a61791710194,ap-statistics,frq,3,3.3,Constructing a Confidence Interval for a Population Proportion,legacy_metadata_crosswalk,medium,Assigned to 3.3 because the legacy metadata crosswalk evidence matches Constructing a Confidence Interval for a Population Proportion.,,false,false,dae3c72e-82ca-4960-9552-1b034bd347e5,3.3,,subtopics;stimulus;rubric
APSTATS-SFRQ-012,f3201719-d216-4143-aa92-8d64a9c469aa,75042cc3-3d10-45ee-ba37-fc37d552f32a,ap-statistics,frq,3,3.7,Carrying Out a Test for a Population Proportion,legacy_metadata_crosswalk,medium,Assigned to 3.7 because the legacy metadata crosswalk evidence matches Carrying Out a Test for a Population Proportion.,,true,false,dae3c72e-82ca-4960-9552-1b034bd347e5,1.3,,subtopics;stimulus;rubric
