"content_key","criterion_key","points_possible","confidence","confidence_basis","compact_similarity","provenance","status"
"APBIO-FRQ-S-025","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.136364","authored_work_order_F","authored"
"APBIO-FRQ-S-025","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.250000","authored_work_order_F","authored"
"APBIO-FRQ-S-025","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.358974","authored_work_order_F","authored"
"APBIO-FRQ-S-026","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.142857","authored_work_order_F","authored"
"APBIO-FRQ-S-026","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.210526","authored_work_order_F","authored"
"APBIO-FRQ-S-026","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.205128","authored_work_order_F","authored"
"APBIO-FRQ-S-026","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.057143","authored_work_order_F","authored"
"APBIO-FRQ-S-028","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.166667","authored_work_order_F","authored"
"APBIO-FRQ-S-028","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.222222","authored_work_order_F","authored"
"APBIO-FRQ-S-032","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.142857","authored_work_order_F","authored"
"APBIO-FRQ-S-032","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.195122","authored_work_order_F","authored"
"APBIO-FRQ-S-032","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.136364","authored_work_order_F","authored"
"APBIO-FRQ-S-033","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.173913","authored_work_order_F","authored"
"APBIO-FRQ-S-033","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.108108","authored_work_order_F","authored"
"APBIO-FRQ-S-036","a1","1","medium","ATP yield is an approximate convention and varies with shuttle efficiency and accounting.","0.166667","authored_work_order_F","authored"
"APBIO-FRQ-S-038","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.166667","authored_work_order_F","authored"
"APBIO-FRQ-S-038","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.121212","authored_work_order_F","authored"
"APBIO-FRQ-S-038","b2","1","medium","The 2–4 ATP range depends on which substrate-level reactions continue after the toxin.","0.340426","authored_work_order_F","authored"
"APBIO-FRQ-S-040","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.342857","authored_work_order_F","authored"
"APBIO-FRQ-S-040","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.052632","authored_work_order_F","authored"
"APBIO-FRQ-S-045","b","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.048780","authored_work_order_F","authored"
"APBIO-FRQ-S-046","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.080000","authored_work_order_F","authored"
"APBIO-FRQ-S-047","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.",".400000","authored_work_order_F","authored"
"APBIO-FRQ-S-048","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.217391","authored_work_order_F","authored"
"APBIO-FRQ-S-051","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.181818","authored_work_order_F","authored"
"APBIO-FRQ-S-051","b1","1","medium","Chromosome 21 is safely described as carrying comparatively few genes; absolute fewest-gene wording is avoided.","0.238095","authored_work_order_F","authored"
"APBIO-FRQ-S-051","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.244898","authored_work_order_F","authored"
"APBIO-FRQ-S-052","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.333333","authored_work_order_F","authored"
"APBIO-FRQ-S-052","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.263158","authored_work_order_F","authored"
"APBIO-FRQ-S-052","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.342857","authored_work_order_F","authored"
"APBIO-FRQ-S-052","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.315789","authored_work_order_F","authored"
"APBIO-FRQ-S-058","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.093023","authored_work_order_F","authored"
"APBIO-FRQ-S-058","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.097561","authored_work_order_F","authored"
"APBIO-FRQ-S-058","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.052632","authored_work_order_F","authored"
"APBIO-FRQ-S-058","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.173913","authored_work_order_F","authored"
"APBIO-FRQ-S-062","b","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.083333","authored_work_order_F","authored"
"APBIO-FRQ-S-066","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.187500","authored_work_order_F","authored"
"APBIO-FRQ-S-066","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.186047","authored_work_order_F","authored"
"APBIO-FRQ-S-066","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.171429","authored_work_order_F","authored"
"APBIO-FRQ-S-066","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.181818","authored_work_order_F","authored"
"APBIO-FRQ-S-068","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.266667","authored_work_order_F","authored"
"APBIO-FRQ-S-070","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.244898","authored_work_order_F","authored"
"APBIO-FRQ-S-070","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.217391","authored_work_order_F","authored"
"APBIO-FRQ-S-071","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.516129","authored_work_order_F","authored"
"APBIO-FRQ-S-071","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.444444","authored_work_order_F","authored"
"APBIO-FRQ-S-071","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.214286","authored_work_order_F","authored"
"APBIO-FRQ-S-071","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.382979","authored_work_order_F","authored"
"APBIO-FRQ-S-073","a","2","medium","The stored rubric evidence is factually wrong for 2n=4; this correction follows the stem and chromosome-count derivation.","0.059701","authored_work_order_F","authored"
"APBIO-FRQ-S-074","a","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.139535","authored_work_order_F","authored"
"APBIO-FRQ-S-074","b","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.081633","authored_work_order_F","authored"
"APBIO-FRQ-S-076","a","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.097561","authored_work_order_F","authored"
"APBIO-FRQ-S-076","b","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.120000","authored_work_order_F","authored"
"APBIO-FRQ-S-080","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.274510","authored_work_order_F","authored"
"APBIO-FRQ-S-080","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.350000","authored_work_order_F","authored"
"APBIO-FRQ-S-080","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.153846","authored_work_order_F","authored"
"APBIO-FRQ-S-081","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.270270","authored_work_order_F","authored"
"APBIO-FRQ-S-081","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.214286","authored_work_order_F","authored"
"APBIO-FRQ-S-084","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.300000","authored_work_order_F","authored"
"APBIO-FRQ-S-085","b","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.043478","authored_work_order_F","authored"
"APBIO-FRQ-S-086","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.312500","authored_work_order_F","authored"
"APBIO-FRQ-S-086","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.057143","authored_work_order_F","authored"
"APBIO-FRQ-S-086","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.190476","authored_work_order_F","authored"
"APBIO-FRQ-S-087","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.200000","authored_work_order_F","authored"
"APBIO-FRQ-S-090","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.146341","authored_work_order_F","authored"
"APBIO-FRQ-S-090","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.102564","authored_work_order_F","authored"
"APBIO-FRQ-S-094","a","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.166667","authored_work_order_F","authored"
"APBIO-FRQ-S-094","b","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.156863","authored_work_order_F","authored"
"APBIO-FRQ-S-095","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.162162","authored_work_order_F","authored"
"APBIO-FRQ-S-095","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.238095","authored_work_order_F","authored"
"APBIO-FRQ-S-097","a1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.461538","authored_work_order_F","authored"
"APBIO-FRQ-S-097","a2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.355556","authored_work_order_F","authored"
"APBIO-FRQ-S-097","b1","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.238095","authored_work_order_F","authored"
"APBIO-FRQ-S-097","b2","1","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.216216","authored_work_order_F","authored"
"APBIO-FRQ-S-099","b","2","high","The stem and stored evidence identify a single standard AP Biology mechanism or calculation.","0.173913","authored_work_order_F","authored"
