"content_key","criterion_key","span_index","similarity_ratio","threshold_band","highest_pair_governs","restatement_justification"
"APBIO-FRQ-S-052","b1","8","0.342857","clear","yes",""
"APBIO-FRQ-S-052","b2","10","0.315789","clear","yes",""
"APBIO-FRQ-S-058","a1","0","0.093023","clear","yes",""
"APBIO-FRQ-S-058","a2","2","0.097561","clear","yes",""
"APBIO-FRQ-S-058","b1","4","0.052632","clear","yes",""
"APBIO-FRQ-S-058","b2","6","0.173913","clear","yes",""
"APBIO-FRQ-S-062","b","4","0.083333","clear","yes",""
"APBIO-FRQ-S-066","a1","2","0.187500","clear","yes",""
"APBIO-FRQ-S-066","a2","4","0.186047","clear","yes",""
"APBIO-FRQ-S-066","b1","8","0.171429","clear","yes",""
"APBIO-FRQ-S-066","b2","10","0.181818","clear","yes",""
"APBIO-FRQ-S-068","a2","2","0.266667","clear","yes",""
"APBIO-FRQ-S-070","a2","2","0.244898","clear","yes",""
"APBIO-FRQ-S-070","b1","8","0.217391","clear","yes",""
"APBIO-FRQ-S-071","a1","2","0.516129","clear","yes",""
"APBIO-FRQ-S-071","a2","4","0.444444","clear","yes",""
"APBIO-FRQ-S-071","b1","8","0.214286","clear","yes",""
"APBIO-FRQ-S-071","b2","10","0.382979","clear","yes",""
"APBIO-FRQ-S-073","a","2","0.059701","clear","yes",""
"APBIO-FRQ-S-074","a","2","0.139535","clear","yes",""
"APBIO-FRQ-S-074","b","6","0.081633","clear","yes",""
"APBIO-FRQ-S-076","a","2","0.097561","clear","yes",""
"APBIO-FRQ-S-076","b","6","0.120000","clear","yes",""
"APBIO-FRQ-S-080","a2","2","0.274510","clear","yes",""
"APBIO-FRQ-S-080","b1","7","0.350000","clear","yes",""
"APBIO-FRQ-S-080","b2","9","0.153846","clear","yes",""
"APBIO-FRQ-S-081","b1","6","0.270270","clear","yes",""
"APBIO-FRQ-S-081","b2","8","0.214286","clear","yes",""
"APBIO-FRQ-S-084","b1","6","0.300000","clear","yes",""
"APBIO-FRQ-S-085","b","4","0.043478","clear","yes",""
"APBIO-FRQ-S-086","a2","2","0.312500","clear","yes",""
"APBIO-FRQ-S-086","b1","6","0.057143","clear","yes",""
"APBIO-FRQ-S-086","b2","8","0.190476","clear","yes",""
"APBIO-FRQ-S-087","a2","6","0.200000","clear","yes",""
"APBIO-FRQ-S-090","b1","6","0.146341","clear","yes",""
"APBIO-FRQ-S-090","b2","8","0.102564","clear","yes",""
"APBIO-FRQ-S-094","a","2","0.166667","clear","yes",""
"APBIO-FRQ-S-094","b","6","0.156863","clear","yes",""
"APBIO-FRQ-S-095","b1","4","0.162162","clear","yes",""
"APBIO-FRQ-S-095","b2","6","0.238095","clear","yes",""
"APBIO-FRQ-S-097","a1","2","0.461538","clear","yes",""
"APBIO-FRQ-S-097","a2","4","0.355556","clear","yes",""
"APBIO-FRQ-S-097","b1","8","0.238095","clear","yes",""
"APBIO-FRQ-S-097","b2","10","0.216216","clear","yes",""
"APBIO-FRQ-S-099","b","4","0.173913","clear","yes",""
