content_key,content_item_version_id,version_num,item_type,committed_difficulty,committed_basis,reproduced_difficulty,band_match,detected_verbs,exact_auto_verb_matches,attainment_ratio,ratio_status,ratio_blocker
APBIO-FRQ-S-007,dac34d4b-b53d-4def-8fea-a4167b7a49de,1,frq,Medium,task verb,Medium,true,construct|state,AP Biology Q2 B1 ratio=0.88|AP Biology Q2 B2 ratio=0.66|AP Biology Q2 B3 ratio=0.63,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-009,1517aedb-e279-44e8-9696-42b235bffd00,3,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-010,9c5f933f-f9a7-4c39-bf21-048315268be5,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-011,5b8ee27e-2447-416d-9691-070bdf3b96da,2,frq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-016,9d8b0980-5c11-4f0a-b270-cd30e7619edb,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-017,47959e87-42b9-4634-8705-ecffcab4754e,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-019,51c855c0-9e64-4788-bfb5-a679129a281f,2,frq,Medium,task verb,Medium,true,explains|states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-020,9ea33554-4ed7-4d97-8ccc-d253c1d71c1d,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-021,1c8662ac-d06b-47e4-bfd3-714dae885aac,2,frq,Easy,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-023,89ba31c8-84ca-4f2c-be9c-01fb4ea8e76b,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-025,9384a865-b082-4048-a087-b4c26cc859ee,2,frq,Easy,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-026,3d6ff5f6-4ea2-44a4-874b-f22120fdb97e,2,frq,Medium,task verb,Medium,true,explains|identifies,AP Biology Q1 C1 ratio=0.76|AP Biology Q1 C2 ratio=0.89|AP Biology Q1 C3 ratio=0.49,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-028,7a819a05-5d81-4359-9f51-006bc51212b3,2,frq,Easy,task verb,Easy,true,identifies,AP Biology Q1 C1 ratio=0.76|AP Biology Q1 C2 ratio=0.89|AP Biology Q1 C3 ratio=0.49,,blocked_unverified_source_and_no_aggregation_rule,verb_auto is explicitly unverified and the method defines no rule for aggregating multiple CRR ratios into one item ratio
APBIO-FRQ-S-029,205c0b5d-0937-47e4-8044-0df319848075,1,frq,Medium,task verb,Medium,true,describe|explain,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-031,f4dc03a9-a479-4443-aa4f-5e6870cd6fae,1,frq,Medium,task verb,Medium,true,explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-032,a04bde76-f1f8-485d-af9b-f8e3e38390df,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-033,502aa255-e7de-4bcb-a18d-26af2d07fc01,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-036,09b27b58-3cc8-4423-a9c9-a6771fc44c42,2,frq,Easy,task verb,Easy,true,explains|states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-038,968b0367-0a44-4f51-a59a-8d85f5039c44,2,frq,Easy,task verb,Easy,true,explains|predicts|states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-040,933fa551-5500-46c9-b6b3-2a203759459f,2,frq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-045,923ce8b5-f4ce-439c-8d99-b28973ed0f3f,1,frq,Hard,task verb,Hard,true,calculate|predict,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-046,3b98ba34-103c-41f2-83cb-8e7c05de4f15,2,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-047,840d2217-ce35-43a7-a0f7-8a233590b628,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-048,5a3e01a6-0b07-4c8d-b3a3-79783c9861a9,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-051,aaa389e4-ab38-4be6-80d3-9c595be504c6,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-052,32a19d38-ab7b-40e9-bec7-02dc3993d943,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-058,de993d8e-09a0-49d8-bb2b-6a15008f6182,2,frq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-FRQ-S-061,0907dce7-5af1-4e5f-bea1-b78b2dae0d05,3,frq,Medium,task verb,Medium,true,explains|identifies,AP Biology Q1 C1 ratio=0.76|AP Biology Q1 C2 ratio=0.89|AP Biology Q1 C3 ratio=0.49,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-062,f859f5be-f80a-4b71-8525-7c238756def2,1,frq,Medium,task verb,Medium,true,explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-063,8a8be53a-d01c-4b01-9639-5d1e2e6ccdd0,2,frq,Easy,task verb,Easy,true,applies|calculates|states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-064,d55c0321-3098-44d2-9823-f40926eaacf4,2,frq,Easy,task verb,Easy,true,identifies|states,AP Biology Q1 C1 ratio=0.76|AP Biology Q1 C2 ratio=0.89|AP Biology Q1 C3 ratio=0.49,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-066,088e2b89-72e9-43b4-8a53-ff145f5271dd,2,frq,Medium,task verb,Medium,true,describes|explains|predicts,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-068,3527c697-e98a-422e-aaab-3912523be39b,3,frq,Easy,task verb,Easy,true,classifies|names|states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-070,172c7a1f-1fe3-49b4-a9c4-0712b351eb65,2,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-071,cf0a90f8-1d7a-4135-b096-20daa8806e54,2,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-073,2390157a-8afe-4fc8-bb77-903f9f7d03a1,1,frq,Medium,task verb,Medium,true,describe|explain,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-074,0ac026bd-7daa-421e-a4f3-d2f4ba5dd9f6,1,frq,Medium,task verb,Medium,true,explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-076,2792c2f8-dc64-4dac-8ae1-75bfb930c6b5,1,frq,Medium,task verb,Medium,true,describe|explain,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-080,b7f6c54c-b1a8-445d-8ee5-bf2dd816f579,2,frq,Easy,task verb,Easy,true,explains|states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-081,383b750d-2749-4c23-aea1-5cc4cc228d48,2,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-084,08a2b95a-4f3f-4a4f-bc4c-6b1e41105f6b,2,frq,Easy,task verb,Easy,true,explains|states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-085,0248f6e3-3237-453a-8037-3a7ed19e507b,1,frq,Hard,task verb,Hard,true,explain|predict,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-086,f5248787-f7d3-4838-901e-fb19df12242e,2,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-087,818b0a35-668d-4087-bd06-1d7265089367,2,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-089,b044a041-5c3b-44c6-8f35-c76ac24a3744,3,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-090,b3a9caa2-b109-4d26-8227-edc2740461c4,2,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-094,db5db9c9-1899-4864-b13d-dadb9a6d5b6b,1,frq,Medium,task verb,Medium,true,explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-095,a965c3d0-259e-4f5e-9c5e-c999ec6e3ae5,2,frq,Easy,task verb,Easy,true,explains|states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-097,018d63b6-8961-440b-a52f-f95e8d4d487b,2,frq,Easy,task verb,Easy,true,states,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-099,f1a8fb93-bc97-4d53-b9c2-1974bc281fd7,1,frq,Medium,task verb,Medium,true,classify|explain,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-FRQ-S-101,406df04d-6c14-4ca2-9444-9f18cd2a5ed8,1,frq,Medium,task verb,Medium,true,constructs|explains,AP Biology Q2 B1 ratio=0.88|AP Biology Q2 B2 ratio=0.66|AP Biology Q2 B3 ratio=0.63,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-102,4a5c171e-86c2-4581-96a4-d491b510fb59,1,frq,Medium,task verb,Medium,true,calculates|describes|explains,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-FRQ-S-103,acef35fc-9531-45b7-95ae-3139b531baa7,1,frq,Medium,task verb,Medium,true,describes|explains,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-HDG-2026-GRAPH-002,1c29347d-0f41-4f09-96a7-6f863be82eaf,1,frq,Medium,task verb,Medium,true,compares,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-HDG-2026-GRAPH-003,6ac7429d-1bb4-4be3-9cc4-6059fbdcfbc7,1,frq,Easy,task verb,Easy,true,identifies,AP Biology Q1 C1 ratio=0.76|AP Biology Q1 C2 ratio=0.89|AP Biology Q1 C3 ratio=0.49,,blocked_unverified_source_and_no_aggregation_rule,verb_auto is explicitly unverified and the method defines no rule for aggregating multiple CRR ratios into one item ratio
APBIO-HDG-2026-GRAPH-008,5725097a-a077-4f98-98da-12a527455879,2,frq,Medium,task verb,Medium,true,describes,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_unverified_source_and_no_aggregation_rule,verb_auto is explicitly unverified and the method defines no rule for aggregating multiple CRR ratios into one item ratio
APBIO-HDG-2026-GRAPH-010,dc837bba-58ad-4734-8539-47813be6e2c3,2,frq,Medium,task verb,Medium,true,describes|explains|labels,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_partial_exact_join,one or more detected verbs have no AP Biology CRR verb_auto rows
APBIO-MCQ-005,9f427271-87f3-4047-9633-063dd9c46ed5,2,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-008,8fbe9af9-b42f-4225-a880-0901d7c7a8f9,2,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-011,533c21dd-cfa1-4d11-99ad-e6aab888b934,2,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-014,ad7a9f91-3861-4f2e-a8ff-eff3558d3a52,3,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-016,1be8f5a0-929c-479c-b70f-83a6e56cf75f,3,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-017,bb05df6f-07b4-4d70-aacc-018327c5e23d,1,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-018,7f0a6301-1aeb-42cc-895c-6afcc9163bbb,2,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-020,c7f17986-8dea-41cd-af04-9dd7a968ea84,1,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-021,c46aa182-e0ee-4fd8-aef3-db793fa72e6c,1,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-022,31fc584b-db50-40ea-b886-f8ea5f026eb3,1,mcq,Hard,task verb,Hard,true,supports,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-023,5f005242-3352-4af1-ace8-3f2030b00428,1,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-024,ecd0db9f-67cc-4dff-9297-14bffd1c3fa8,1,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-025,973c0fba-185e-4ee1-a24e-7a92a3f3d097,2,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-026,4521b833-b4c3-4376-860f-9262095b2a2c,3,mcq,Easy,task verb,Easy,true,classifies,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-027,8dc89768-43d8-471b-8b7d-f671c798d561,1,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-028,ebf7c9ea-3d0c-41c1-8604-f0aa0ebdcb0a,1,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-030,64c9f99b-5569-43e0-a123-662c0bf33a64,2,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-032,b99cefa5-2e80-4743-a9b9-631533d224a9,1,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-033,bbe37ba6-2a58-45c0-a10b-d25b032ddf8f,2,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-034,c92dabc7-2a63-4835-8cd3-d25dffc7a674,1,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-043,a3317605-ae54-4092-a9d3-428c40c2c9e9,2,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-046,2613407b-e76f-4e3c-9cf2-97b588d2277e,2,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-047,c5a8e814-20b5-4020-b66b-cd4806f918ff,1,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-054,838fe193-1227-45f3-9d8d-90a8ca776f41,2,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-055,f1a362bf-9847-4f87-98ed-08af07f8dd82,1,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-056,13c9c246-6f1c-46ee-9983-3e0cdfd7671d,2,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-058,17ca7505-86ed-47e9-aa2f-1a8809671e07,1,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-061,87ab7c3a-8afb-4085-a33d-ae49be5900f4,1,mcq,Medium,task verb,Medium,true,describes,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_unverified_source_and_no_aggregation_rule,verb_auto is explicitly unverified and the method defines no rule for aggregating multiple CRR ratios into one item ratio
APBIO-MCQ-063,b14827d3-ad59-4683-ae00-7ea8223306ef,2,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-064,bdfe102c-6617-4190-9a1a-aa855cddf05b,1,mcq,Medium,task verb,Medium,true,represents,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-065,b8274747-ff97-4026-90d9-ba100388cf11,1,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-067,97c2d55b-0295-4d15-bd54-87642ff59c29,2,mcq,Hard,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-069,008f7245-0504-47d9-9a4f-e6860f0a9286,3,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-074,82edfa5f-e94f-4b85-8b72-23220bde6547,4,mcq,Hard,task verb,Hard,true,predicts,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-079,76e28f76-8a84-49a7-89c8-6528e01b57da,2,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-084,e522fa68-d4ad-41f0-9e93-2c7b1ac2f0d1,2,mcq,Medium,task verb,Medium,true,contrasts,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-086,346b2592-67fd-469d-ad31-2645bd1adbcc,2,mcq,Medium,task verb,Medium,true,distinguishes,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-088,c066276d-8b38-4bf1-bebd-83fb5b0c2c45,2,mcq,Hard,task verb,Hard,true,predict,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-093,004bcd77-6f2a-4c57-957a-918c11720f2a,2,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-094,430109f4-bf82-4e2a-8125-7b2063cc8a4f,2,mcq,Medium,task verb,Medium,true,explains,,,blocked_no_exact_join,no detected verb has an AP Biology CRR verb_auto row
APBIO-MCQ-095,4dc6cd64-db54-403e-81bd-1b5620bb0cb5,2,mcq,Medium,judgement,,false,,,,unavailable_by_design,judgement basis has no task-verb attainment anchor
APBIO-MCQ-097,044c1796-d319-497f-b532-69168da5ce30,2,mcq,Medium,task verb,Medium,true,describes,AP Biology Q1 A1 ratio=0.64|AP Biology Q1 D1 ratio=0.14|AP Biology Q1 D2 ratio=0.02|AP Biology Q2 A1 ratio=0.5,,blocked_unverified_source_and_no_aggregation_rule,verb_auto is explicitly unverified and the method defines no rule for aggregating multiple CRR ratios into one item ratio
