subject,question,label,max,mean,ratio,task,topic,verb_auto,attr_method
AP Calculus BC,BC2,BC2 P9,1.0,0.21,0.21,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,write,sequential
AP Calculus BC,BC5,BC5 P3,1.0,0.63,0.63,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,describe,sequential
AP Calculus BC,BC5,BC5 P7,1.0,0.28,0.28,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,describe,direct
AP Chemistry,1,02,1.0,0.55,0.55,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",identify,sequential
AP Chemistry,1,03,1.0,0.65,0.65,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",explain,sequential
AP Chemistry,1,04,1.0,0.11,0.11,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",represent,direct
AP Chemistry,1,05,1.0,0.66,0.66,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,direct
AP Chemistry,1,06,1.0,0.46,0.46,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,sequential
AP Chemistry,1,07,1.0,0.59,0.59,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,direct
AP Chemistry,1,08,1.0,0.42,0.42,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,direct
AP Chemistry,1,09,1.0,0.45,0.45,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,direct
AP Chemistry,2,01,1.0,0.84,0.84,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",calculate,sequential
AP Chemistry,2,03,1.0,0.31,0.31,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",compare,direct
AP Chemistry,2,05,1.0,0.56,0.56,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",determine,sequential
AP Chemistry,2,06,1.0,0.28,0.28,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",analyze,sequential
AP Chemistry,2,07,1.0,0.51,0.51,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",calculate,sequential
AP Chemistry,2,08,1.0,0.64,0.64,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",calculate,direct
AP Chemistry,2,09,1.0,0.33,0.33,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",calculate,direct
AP Chemistry,3,01,1.0,0.73,0.73,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",explain,sequential
AP Chemistry,3,02,1.0,0.25,0.25,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",predict,sequential
AP Chemistry,3,03,1.0,0.35,0.35,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",calculate,sequential
AP Chemistry,3,08,1.0,0.52,0.52,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",represent,sequential
AP Chemistry,4,01,1.0,0.56,0.56,Methanol and Formaldehyde,"Hybridization; Intermolecular Forces; Solids, Liquids and Gases; Energy of Phase Changes",identify,direct
AP Chemistry,4,03,1.0,0.74,0.74,Methanol and Formaldehyde,"Hybridization; Intermolecular Forces; Solids, Liquids and Gases; Energy of Phase Changes",propose,sequential
AP Chemistry,4,04,1.0,0.54,0.54,Methanol and Formaldehyde,"Hybridization; Intermolecular Forces; Solids, Liquids and Gases; Energy of Phase Changes",calculate,direct
AP Chemistry,5,01,1.0,0.65,0.65,C4 H9OH and Silanol,"VSEPR, Intermolecular Forces, Properties of Solids, Ideal Gas Law",predict,sequential
AP Chemistry,5,03,1.0,0.44,0.44,C4 H9OH and Silanol,"VSEPR, Intermolecular Forces, Properties of Solids, Ideal Gas Law",calculate,sequential
AP Chemistry,6,01,1.0,0.49,0.49,Zn and Al Galvanic Cell,"Galvanic Cells, Redox reactions, Stoichiometry, Cell Potential",identify,direct
AP Chemistry,6,02,1.0,0.52,0.52,Zn and Al Galvanic Cell,"Galvanic Cells, Redox reactions, Stoichiometry, Cell Potential",identify,direct
AP Chemistry,6,03,1.0,0.1,0.1,Zn and Al Galvanic Cell,"Galvanic Cells, Redox reactions, Stoichiometry, Cell Potential",identify,direct
AP Chemistry,7,01,1.0,0.61,0.61,Glycolate,"Molecular Structure of Acids and Bases, Calculating the Equilibrium Constant, Weak Acid",identify,sequential
AP Chemistry,7,02,1.0,0.41,0.41,Glycolate,"Molecular Structure of Acids and Bases, Calculating the Equilibrium Constant, Weak Acid",calculate,sequential
AP Chemistry,7,03,1.0,0.48,0.48,Glycolate,"Molecular Structure of Acids and Bases, Calculating the Equilibrium Constant, Weak Acid",calculate,sequential
AP Chemistry,7,04,1.0,0.51,0.51,Glycolate,"Molecular Structure of Acids and Bases, Calculating the Equilibrium Constant, Weak Acid",propose,sequential
AP Physics C: E&M,3,A1,1.0,0.46,0.46,Experimental Design and Analysis,Resistance and Resistivity,state,sequential
AP Physics C: E&M,3,A2,1.0,0.83,0.83,Experimental Design and Analysis,Resistance and Resistivity,identify,sequential
AP Physics C: E&M,3,C1,1.0,0.91,0.91,Experimental Design and Analysis,Resistance and Resistivity,identify,letter
AP Physics C: E&M,3,C2,1.0,0.78,0.78,Experimental Design and Analysis,Resistance and Resistivity,identify,letter
AP Physics C: E&M,3,C3,1.0,0.91,0.91,Experimental Design and Analysis,Resistance and Resistivity,identify,letter
AP Physics C: E&M,3,C4,1.0,0.83,0.83,Experimental Design and Analysis,Resistance and Resistivity,identify,letter
AP Physics C: Mech,3,A1,1.0,0.74,0.74,Experimental Design and Analysis,Conservation of Energy,determine,sequential
AP Physics C: Mech,3,A2,1.0,0.78,0.78,Experimental Design and Analysis,Conservation of Energy,determine,sequential
AP Physics C: Mech,3,B1,1.0,0.54,0.54,Experimental Design and Analysis,Conservation of Energy,calculate,sequential
AP Physics C: Mech,3,D1,1.0,0.49,0.49,Experimental Design and Analysis,Conservation of Energy,calculate,letter
AP Physics C: Mech,3,D2,1.0,0.5,0.5,Experimental Design and Analysis,Conservation of Energy,calculate,letter
AP Precalculus,1,A1,1.0,0.64,0.64,,Function Concepts,identify,letter
AP Precalculus,1,A2,1.0,0.72,0.72,,Function Concepts,identify,letter
