subject,question,label,max,mean,ratio,task,topic,verb_auto,attr_method
AP Calculus AB,AB1/BC1,AB1 P6,1.0,0.38,0.38,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,represent,sequential
AP Calculus AB,AB1/BC1,AB1 P7,1.0,0.34,0.34,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,find,sequential
AP Calculus AB,AB1/BC1,AB1 P8,1.0,0.07,0.07,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,justify,direct
AP Calculus AB,AB1/BC1,AB1 P9,1.0,0.19,0.19,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,evaluate,sequential
AP Calculus AB,AB2,AB2 P1,1.0,0.75,0.75,"Area, Volume, Slope of Tangent Lines",Area/Volume,state,sequential
AP Calculus AB,AB2,AB2 P2,1.0,0.66,0.66,"Area, Volume, Slope of Tangent Lines",Area/Volume,write,sequential
AP Calculus AB,AB2,AB2 P3,1.0,0.44,0.44,"Area, Volume, Slope of Tangent Lines",Area/Volume,use,direct
AP Calculus AB,AB2,AB2 P4,1.0,0.26,0.26,"Area, Volume, Slope of Tangent Lines",Area/Volume,use,direct
AP Calculus AB,AB2,AB2 P5,1.0,0.44,0.44,"Area, Volume, Slope of Tangent Lines",Area/Volume,indicate,sequential
AP Calculus AB,AB2,AB2 P6,1.0,0.35,0.35,"Area, Volume, Slope of Tangent Lines",Area/Volume,represent,direct
AP Calculus AB,AB2,AB2 P7,1.0,0.33,0.33,"Area, Volume, Slope of Tangent Lines",Area/Volume,,
AP Calculus AB,AB2,AB2 P8,1.0,0.45,0.45,"Area, Volume, Slope of Tangent Lines",Area/Volume,show,direct
AP Calculus AB,AB2,AB2 P9,1.0,0.35,0.35,"Area, Volume, Slope of Tangent Lines",Area/Volume,use,direct
AP Calculus AB,AB3/BC3,AB3 P1,1.0,0.8,0.8,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),show,direct
AP Calculus AB,AB3/BC3,AB3 P2,1.0,0.54,0.54,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),justify,sequential
AP Calculus AB,AB3/BC3,AB3 P3,1.0,0.27,0.27,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),state,direct
AP Calculus AB,AB3/BC3,AB3 P4,1.0,0.28,0.28,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),find,sequential
AP Calculus AB,AB3/BC3,AB3 P5,1.0,0.56,0.56,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),use,direct
AP Calculus AB,AB3/BC3,AB3 P6,1.0,0.52,0.52,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),show,direct
AP Calculus AB,AB3/BC3,AB3 P7,1.0,0.71,0.71,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),state,sequential
AP Calculus AB,AB3/BC3,AB3 P8,1.0,0.61,0.61,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),evaluate,sequential
AP Calculus AB,AB3/BC3,AB3 P9,1.0,0.54,0.54,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),state,sequential
AP Calculus AB,AB4/BC4,AB4 P1,1.0,0.62,0.62,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,find,sequential
AP Calculus AB,AB4/BC4,AB4 P2,1.0,0.7,0.7,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,identify,direct
AP Calculus AB,AB4/BC4,AB4 P3,1.0,0.27,0.27,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,identify,direct
AP Calculus AB,AB4/BC4,AB4 P4,1.0,0.18,0.18,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,state,direct
AP Calculus AB,AB4/BC4,AB4 P5,1.0,0.65,0.65,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,use,sequential
AP Calculus AB,AB4/BC4,AB4 P6,1.0,0.48,0.48,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,find,direct
AP Calculus AB,AB4/BC4,AB4 P7,1.0,0.39,0.39,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,,
AP Calculus AB,AB4/BC4,AB4 P8,1.0,0.15,0.15,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,use,direct
AP Calculus AB,AB4/BC4,AB4 P9,1.0,0.47,0.47,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,draw,direct
AP Calculus AB,AB5,AB5 P1,1.0,0.77,0.77,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,find,direct
AP Calculus AB,AB5,AB5 P2,1.0,0.55,0.55,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,find,direct
AP Calculus AB,AB5,AB5 P3,1.0,0.42,0.42,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,state,sequential
AP Calculus AB,AB5,AB5 P4,1.0,0.04,0.04,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,find,sequential
AP Calculus AB,AB5,AB5 P5,1.0,0.03,0.03,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,determine,direct
AP Calculus AB,AB5,AB5 P6,1.0,0.43,0.43,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,state,direct
AP Calculus AB,AB5,AB5 P7,1.0,0.69,0.69,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,find,direct
AP Calculus AB,AB5,AB5 P8,1.0,0.44,0.44,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,find,direct
AP Calculus AB,AB5,AB5 P9,1.0,0.23,0.23,"Velocity, Direction of Motion, Speed of a Particle Increasing or Decreasing at a Point,",Particle Motion,find,direct
AP Calculus AB,AB6,AB6 P1,1.0,0.7,0.7,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,use,sequential
AP Calculus AB,AB6,AB6 P2,1.0,0.67,0.67,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,find,sequential
AP Calculus AB,AB6,AB6 P3,1.0,0.53,0.53,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,find,direct
AP Calculus AB,AB6,AB6 P4,1.0,0.43,0.43,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,evaluate,sequential
AP Calculus AB,AB6,AB6 P5,1.0,0.47,0.47,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,show,sequential
AP Calculus AB,AB6,AB6 P6,1.0,0.36,0.36,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,find,direct
AP Calculus AB,AB6,AB6 P7,1.0,0.42,0.42,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,,
AP Calculus AB,AB6,AB6 P8,1.0,0.29,0.29,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,,
AP Calculus AB,AB6,AB6 P9,1.0,0.23,0.23,"Verify First Derivative, Tangent Line Approximation, Vertical Tangent Line, Related Rates",Implicit Differentiation,,
AP Calculus BC,AB1/BC1,BC1 P1,1.0,0.62,0.62,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,interpret,sequential
AP Calculus BC,AB1/BC1,BC1 P2,1.0,0.57,0.57,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,evaluate,direct
AP Calculus BC,AB1/BC1,BC1 P3,1.0,0.77,0.77,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,evaluate,sequential
AP Calculus BC,AB1/BC1,BC1 P4,1.0,0.62,0.62,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,,
AP Calculus BC,AB1/BC1,BC1 P5,1.0,0.84,0.84,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,represent,direct
AP Calculus BC,AB1/BC1,BC1 P6,1.0,0.62,0.62,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,,
AP Calculus BC,AB1/BC1,BC1 P7,1.0,0.62,0.62,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,,
AP Calculus BC,AB1/BC1,BC1 P8,1.0,0.18,0.18,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,justify,direct
AP Calculus BC,AB1/BC1,BC1 P9,1.0,0.37,0.37,"Average Value, Instantaneous Rate of Change, Average Rate of Change, End Behavior,",Modeling,,
AP Calculus BC,AB3/BC3,BC3 P1,1.0,0.88,0.88,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),show,direct
AP Calculus BC,AB3/BC3,BC3 P2,1.0,0.66,0.66,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),use,sequential
AP Calculus BC,AB3/BC3,BC3 P3,1.0,0.38,0.38,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),state,direct
AP Calculus BC,AB3/BC3,BC3 P4,1.0,0.43,0.43,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),,
AP Calculus BC,AB3/BC3,BC3 P5,1.0,0.73,0.73,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),use,direct
AP Calculus BC,AB3/BC3,BC3 P6,1.0,0.68,0.68,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),show,direct
AP Calculus BC,AB3/BC3,BC3 P7,1.0,0.9,0.9,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),,
AP Calculus BC,AB3/BC3,BC3 P8,1.0,0.84,0.84,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),,
AP Calculus BC,AB3/BC3,BC3 P9,1.0,0.77,0.77,"Average Rate of Change, Intermediate Value Theorem, Trapezoidal Sum, Definite Integral",Modeling (Tabular Stem),,
AP Calculus BC,AB4/BC4,BC4 P1,1.0,0.79,0.79,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,,
AP Calculus BC,AB4/BC4,BC4 P2,1.0,0.88,0.88,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,identify,direct
AP Calculus BC,AB4/BC4,BC4 P3,1.0,0.38,0.38,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,identify,direct
AP Calculus BC,AB4/BC4,BC4 P4,1.0,0.24,0.24,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,state,direct
AP Calculus BC,AB4/BC4,BC4 P5,1.0,0.87,0.87,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,,
AP Calculus BC,AB4/BC4,BC4 P6,1.0,0.71,0.71,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,find,direct
AP Calculus BC,AB4/BC4,BC4 P7,1.0,0.62,0.62,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,,
AP Calculus BC,AB4/BC4,BC4 P8,1.0,0.29,0.29,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,use,direct
AP Calculus BC,AB4/BC4,BC4 P9,1.0,0.69,0.69,"Fundamental Theorem of Calculus, Points of Inflection, Definite Integrals, Extreme",Graphical Analysis,draw,direct
AP Calculus BC,BC2,BC2 P1,1.0,0.63,0.63,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,find,sequential
AP Calculus BC,BC2,BC2 P2,1.0,0.6,0.6,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,determine,direct
AP Calculus BC,BC2,BC2 P3,1.0,0.52,0.52,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,determine,direct
AP Calculus BC,BC2,BC2 P4,1.0,0.16,0.16,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,find,direct
AP Calculus BC,BC2,BC2 P5,1.0,0.49,0.49,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,show,sequential
AP Calculus BC,BC2,BC2 P6,1.0,0.06,0.06,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,determine,sequential
AP Calculus BC,BC2,BC2 P7,1.0,0.17,0.17,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,find,sequential
AP Calculus BC,BC2,BC2 P8,1.0,0.24,0.24,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,identify,sequential
AP Calculus BC,BC2,BC2 P9,1.0,0.21,0.21,"Rate of Change, Area of a Region Bounded by Polar Curves, Maximum Distance from the",Polar curves,write,sequential
AP Calculus BC,BC5,BC5 P1,1.0,0.73,0.73,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,use,direct
AP Calculus BC,BC5,BC5 P2,1.0,0.75,0.75,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,use,direct
AP Calculus BC,BC5,BC5 P3,1.0,0.63,0.63,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,describe,sequential
AP Calculus BC,BC5,BC5 P4,1.0,0.62,0.62,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,indicate,sequential
AP Calculus BC,BC5,BC5 P5,1.0,0.55,0.55,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,use,sequential
AP Calculus BC,BC5,BC5 P6,1.0,0.48,0.48,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,design,sequential
AP Calculus BC,BC5,BC5 P7,1.0,0.28,0.28,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,describe,direct
AP Calculus BC,BC5,BC5 P8,1.0,0.72,0.72,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,,
AP Calculus BC,BC5,BC5 P9,1.0,0.44,0.44,"Second Derivative, Taylor Polynomial, Lagrange Error Bound, Euler’s Method",Differential Equations,,
AP Calculus BC,BC6,BC6 P1,1.0,0.77,0.77,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,find,direct
AP Calculus BC,BC6,BC6 P2,1.0,0.55,0.55,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,find,direct
AP Calculus BC,BC6,BC6 P3,1.0,0.6,0.6,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,use,direct
AP Calculus BC,BC6,BC6 P4,1.0,0.44,0.44,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,use,sequential
AP Calculus BC,BC6,BC6 P5,1.0,0.14,0.14,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,use,direct
AP Calculus BC,BC6,BC6 P6,1.0,0.57,0.57,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,find,direct
AP Calculus BC,BC6,BC6 P7,1.0,0.51,0.51,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,find,direct
AP Calculus BC,BC6,BC6 P8,1.0,0.3,0.3,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,use,direct
AP Calculus BC,BC6,BC6 P9,1.0,0.38,0.38,"Ratio Test, Interval of Convergence, Terms for a Series, Convergence at a Point",Series,use,sequential
AP Chemistry,1,01,1.0,0.72,0.72,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",draw,direct
AP Chemistry,1,02,1.0,0.55,0.55,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",identify,sequential
AP Chemistry,1,03,1.0,0.65,0.65,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",explain,sequential
AP Chemistry,1,04,1.0,0.11,0.11,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",represent,direct
AP Chemistry,1,05,1.0,0.66,0.66,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,direct
AP Chemistry,1,06,1.0,0.46,0.46,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,sequential
AP Chemistry,1,07,1.0,0.59,0.59,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,direct
AP Chemistry,1,08,1.0,0.42,0.42,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,direct
AP Chemistry,1,09,1.0,0.45,0.45,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",calculate,direct
AP Chemistry,1,10,1.0,0.17,0.17,Mg Mass Spectrum and Hydroxide Solubility,"Mass Spectrum, Interparticle Forces, pH of Strong Bases, Solutions, Reaction Quotient and",interpret,direct
AP Chemistry,2,01,1.0,0.84,0.84,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",calculate,sequential
AP Chemistry,2,02,1.0,0.32,0.32,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",use,direct
AP Chemistry,2,03,1.0,0.31,0.31,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",compare,direct
AP Chemistry,2,04,1.0,0.35,0.35,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",show,direct
AP Chemistry,2,05,1.0,0.56,0.56,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",determine,sequential
AP Chemistry,2,06,1.0,0.28,0.28,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",analyze,sequential
AP Chemistry,2,07,1.0,0.51,0.51,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",calculate,sequential
AP Chemistry,2,08,1.0,0.64,0.64,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",calculate,direct
AP Chemistry,2,09,1.0,0.33,0.33,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",calculate,direct
AP Chemistry,2,10,1.0,0.15,0.15,Ascorbic Acid,"Moles, Stoichiometry, Elemental Composition, Acid-Base Titrations, Henderson-",find,direct
AP Chemistry,3,01,1.0,0.73,0.73,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",explain,sequential
AP Chemistry,3,02,1.0,0.25,0.25,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",predict,sequential
AP Chemistry,3,03,1.0,0.35,0.35,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",calculate,sequential
AP Chemistry,3,04,1.0,0.06,0.06,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",use,direct
AP Chemistry,3,05,1.0,0.28,0.28,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",use,direct
AP Chemistry,3,06,1.0,0.38,0.38,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",use,direct
AP Chemistry,3,07,1.0,0.31,0.31,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",use,direct
AP Chemistry,3,08,1.0,0.52,0.52,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",represent,sequential
AP Chemistry,3,09,1.0,0.43,0.43,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",use,sequential
AP Chemistry,3,10,1.0,0.31,0.31,Phosphorus,"Lewis Diagrams, Entropy, Thermodynamic Favorability, Heat Capacity and Calorimetry,",use,direct
AP Chemistry,4,01,1.0,0.56,0.56,Methanol and Formaldehyde,"Hybridization; Intermolecular Forces; Solids, Liquids and Gases; Energy of Phase Changes",identify,direct
AP Chemistry,4,02,1.0,0.48,0.48,Methanol and Formaldehyde,"Hybridization; Intermolecular Forces; Solids, Liquids and Gases; Energy of Phase Changes",draw,direct
AP Chemistry,4,03,1.0,0.74,0.74,Methanol and Formaldehyde,"Hybridization; Intermolecular Forces; Solids, Liquids and Gases; Energy of Phase Changes",propose,sequential
AP Chemistry,4,04,1.0,0.54,0.54,Methanol and Formaldehyde,"Hybridization; Intermolecular Forces; Solids, Liquids and Gases; Energy of Phase Changes",calculate,direct
AP Chemistry,5,01,1.0,0.65,0.65,C4 H9OH and Silanol,"VSEPR, Intermolecular Forces, Properties of Solids, Ideal Gas Law",predict,sequential
AP Chemistry,5,02,1.0,0.16,0.16,C4 H9OH and Silanol,"VSEPR, Intermolecular Forces, Properties of Solids, Ideal Gas Law",justify,sequential
AP Chemistry,5,03,1.0,0.44,0.44,C4 H9OH and Silanol,"VSEPR, Intermolecular Forces, Properties of Solids, Ideal Gas Law",calculate,sequential
AP Chemistry,5,04,1.0,0.63,0.63,C4 H9OH and Silanol,"VSEPR, Intermolecular Forces, Properties of Solids, Ideal Gas Law",show,direct
AP Chemistry,6,01,1.0,0.49,0.49,Zn and Al Galvanic Cell,"Galvanic Cells, Redox reactions, Stoichiometry, Cell Potential",identify,direct
AP Chemistry,6,02,1.0,0.52,0.52,Zn and Al Galvanic Cell,"Galvanic Cells, Redox reactions, Stoichiometry, Cell Potential",identify,direct
AP Chemistry,6,03,1.0,0.1,0.1,Zn and Al Galvanic Cell,"Galvanic Cells, Redox reactions, Stoichiometry, Cell Potential",identify,direct
AP Chemistry,6,04,1.0,0.23,0.23,Zn and Al Galvanic Cell,"Galvanic Cells, Redox reactions, Stoichiometry, Cell Potential",use,sequential
AP Chemistry,7,01,1.0,0.61,0.61,Glycolate,"Molecular Structure of Acids and Bases, Calculating the Equilibrium Constant, Weak Acid",identify,sequential
AP Chemistry,7,02,1.0,0.41,0.41,Glycolate,"Molecular Structure of Acids and Bases, Calculating the Equilibrium Constant, Weak Acid",calculate,sequential
AP Chemistry,7,03,1.0,0.48,0.48,Glycolate,"Molecular Structure of Acids and Bases, Calculating the Equilibrium Constant, Weak Acid",calculate,sequential
AP Chemistry,7,04,1.0,0.51,0.51,Glycolate,"Molecular Structure of Acids and Bases, Calculating the Equilibrium Constant, Weak Acid",propose,sequential
AP Physics 2,1,A1,1.0,0.77,0.77,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
