content_key,item_type,difficulty,basis,rationale
apcalcab-mcq-009,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-010,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-011,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-012,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-013,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-014,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-015,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-016,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-017,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-018,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-019,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-020,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-021,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-022,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-023,mcq,Easy,calculus_regex_cue,Direct theorem/definition/read-off cue in MCQ stem.
apcalcab-mcq-024,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-025,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-026,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-027,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-028,mcq,Easy,calculus_regex_cue,Direct theorem/definition/read-off cue in MCQ stem.
apcalcab-mcq-029,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-030,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-031,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-032,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-033,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-034,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-035,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-036,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-037,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-038,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-039,mcq,Hard,calculus_regex_cue,Non-routine or multi-stage Calculus cue in MCQ stem.
apcalcab-mcq-040,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-041,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-042,mcq,Easy,calculus_regex_cue,Direct theorem/definition/read-off cue in MCQ stem.
apcalcab-mcq-043,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-044,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-045,mcq,Hard,calculus_regex_cue,Non-routine or multi-stage Calculus cue in MCQ stem.
apcalcab-mcq-046,mcq,Hard,calculus_regex_cue,Non-routine or multi-stage Calculus cue in MCQ stem.
apcalcab-mcq-047,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-050,mcq,Hard,calculus_regex_cue,Non-routine or multi-stage Calculus cue in MCQ stem.
apcalcab-mcq-060,mcq,Easy,calculus_regex_cue,Direct theorem/definition/read-off cue in MCQ stem.
apcalcab-mcq-070,mcq,Easy,calculus_regex_cue,Direct theorem/definition/read-off cue in MCQ stem.
apcalcab-mcq-080,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-090,mcq,Easy,calculus_regex_cue,Direct theorem/definition/read-off cue in MCQ stem.
apcalcab-mcq-np2-001,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-np2-002,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-np2-003,mcq,Hard,calculus_regex_cue,Non-routine or multi-stage Calculus cue in MCQ stem.
apcalcab-mcq-np2-004,mcq,Easy,calculus_regex_cue,Direct theorem/definition/read-off cue in MCQ stem.
apcalcab-mcq-np2-005,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-np2-006,mcq,Medium,judgement,No decisive cue; standard one-concept MCQ judged Medium.
apcalcab-mcq-np2-007,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-np2-008,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-np2-009,mcq,Medium,calculus_regex_cue,Standard single-concept Calculus operation in MCQ stem.
apcalcab-mcq-np2-010,mcq,Hard,calculus_regex_cue,Non-routine or multi-stage Calculus cue in MCQ stem.
