content_key,content_item_version_id,criterion_key,points_possible,status,span_indexes,notes
"APSTATS-HDG-2026-GRAPH-013","c10fd7cf-3fae-4e59-940f-6741d4412e8d","BOXPLOT_SCALE","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-013","c10fd7cf-3fae-4e59-940f-6741d4412e8d","CENTER_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-013","c10fd7cf-3fae-4e59-940f-6741d4412e8d","FIVE_NUMBER_VALUES","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-013","c10fd7cf-3fae-4e59-940f-6741d4412e8d","VARIABILITY_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-014","dc2a3c81-acd2-4de2-9dfd-d1e5b03eb45d","BOXPLOT_SCALE","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-014","dc2a3c81-acd2-4de2-9dfd-d1e5b03eb45d","CENTER_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-014","dc2a3c81-acd2-4de2-9dfd-d1e5b03eb45d","FIVE_NUMBER_VALUES","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-014","dc2a3c81-acd2-4de2-9dfd-d1e5b03eb45d","VARIABILITY_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-015","1aa509c5-ade2-40fc-b5d7-49f450e356ab","BOXPLOT_SCALE","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-015","1aa509c5-ade2-40fc-b5d7-49f450e356ab","CENTER_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-015","1aa509c5-ade2-40fc-b5d7-49f450e356ab","FIVE_NUMBER_VALUES","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-015","1aa509c5-ade2-40fc-b5d7-49f450e356ab","VARIABILITY_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-016","055efe27-cfbf-4252-a521-8841e7fa14d2","BOXPLOT_SCALE","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-016","055efe27-cfbf-4252-a521-8841e7fa14d2","CENTER_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-016","055efe27-cfbf-4252-a521-8841e7fa14d2","FIVE_NUMBER_VALUES","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-016","055efe27-cfbf-4252-a521-8841e7fa14d2","VARIABILITY_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-017","39617234-0fbc-4c16-ad1b-6ee50674aed7","BOXPLOT_SCALE","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-017","39617234-0fbc-4c16-ad1b-6ee50674aed7","CENTER_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-017","39617234-0fbc-4c16-ad1b-6ee50674aed7","FIVE_NUMBER_VALUES","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-017","39617234-0fbc-4c16-ad1b-6ee50674aed7","VARIABILITY_COMPARISON","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-018","85aa5add-d990-4f1f-a76f-ee4cd87666a9","CATEGORY_LABELS","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-018","85aa5add-d990-4f1f-a76f-ee4cd87666a9","COMPARISON","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-018","85aa5add-d990-4f1f-a76f-ee4cd87666a9","RELATIVE_FREQUENCIES","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-018","85aa5add-d990-4f1f-a76f-ee4cd87666a9","SEGMENTED_BARS","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-019","1cbab95b-416f-49e5-bad7-8213024a7144","CATEGORY_LABELS","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-019","1cbab95b-416f-49e5-bad7-8213024a7144","COMPARISON","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-019","1cbab95b-416f-49e5-bad7-8213024a7144","RELATIVE_FREQUENCIES","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-019","1cbab95b-416f-49e5-bad7-8213024a7144","SEGMENTED_BARS","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-020","e80e66bf-111d-485e-868f-d6dd44d54f3b","CATEGORY_LABELS","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-020","e80e66bf-111d-485e-868f-d6dd44d54f3b","COMPARISON","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-020","e80e66bf-111d-485e-868f-d6dd44d54f3b","RELATIVE_FREQUENCIES","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-020","e80e66bf-111d-485e-868f-d6dd44d54f3b","SEGMENTED_BARS","1","covered","0|1",""
"APSTATS-HDG-2026-GRAPH-023","20927eff-9904-40cd-b79b-02c049d828ed","AREA_OR_COUNT_REASONING","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-023","20927eff-9904-40cd-b79b-02c049d828ed","HEIGHTS_BY_CONDITIONAL_PROPORTION","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-023","20927eff-9904-40cd-b79b-02c049d828ed","SEGMENT_LABELS","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-023","20927eff-9904-40cd-b79b-02c049d828ed","WIDTHS_BY_TOTAL","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-025","d1e6ab5c-ee1e-4f24-8f52-ab97b1c123e0","AREA_OR_COUNT_REASONING","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-025","d1e6ab5c-ee1e-4f24-8f52-ab97b1c123e0","HEIGHTS_BY_CONDITIONAL_PROPORTION","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-025","d1e6ab5c-ee1e-4f24-8f52-ab97b1c123e0","SEGMENT_LABELS","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-025","d1e6ab5c-ee1e-4f24-8f52-ab97b1c123e0","WIDTHS_BY_TOTAL","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-027","47c72ae4-287a-4d31-b9d7-9ebbdd42572e","AREA_OR_COUNT_REASONING","1","covered","2",""
"APSTATS-HDG-2026-GRAPH-027","47c72ae4-287a-4d31-b9d7-9ebbdd42572e","HEIGHTS_BY_CONDITIONAL_PROPORTION","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-027","47c72ae4-287a-4d31-b9d7-9ebbdd42572e","SEGMENT_LABELS","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-027","47c72ae4-287a-4d31-b9d7-9ebbdd42572e","WIDTHS_BY_TOTAL","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-028","a18da3b9-14ed-4bde-ac39-83558ad64eb3","AXIS_SCALE","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-028","a18da3b9-14ed-4bde-ac39-83558ad64eb3","DOT_COUNTS","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-028","a18da3b9-14ed-4bde-ac39-83558ad64eb3","OUTLIER_NOTE","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-028","a18da3b9-14ed-4bde-ac39-83558ad64eb3","SHAPE_DESCRIPTION","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-030","fc46faab-c198-484a-a39c-ba3755945580","AXIS_SCALE","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-030","fc46faab-c198-484a-a39c-ba3755945580","DOT_COUNTS","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-030","fc46faab-c198-484a-a39c-ba3755945580","OUTLIER_NOTE","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-030","fc46faab-c198-484a-a39c-ba3755945580","SHAPE_DESCRIPTION","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-031","f3762c6e-f6c0-4c34-bb05-c2353bfe6ad3","AXIS_SCALE","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-031","f3762c6e-f6c0-4c34-bb05-c2353bfe6ad3","DOT_COUNTS","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-031","f3762c6e-f6c0-4c34-bb05-c2353bfe6ad3","OUTLIER_NOTE","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-031","f3762c6e-f6c0-4c34-bb05-c2353bfe6ad3","SHAPE_DESCRIPTION","1","covered","1",""
"APSTATS-HDG-2026-GRAPH-033","26d6805b-a82d-4db8-b0b2-9a6a73a19ea6","ASSOCIATION_DESCRIPTION","1","covered","0",""
"APSTATS-HDG-2026-GRAPH-033","26d6805b-a82d-4db8-b0b2-9a6a73a19ea6","AXIS_LABELS","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-033","26d6805b-a82d-4db8-b0b2-9a6a73a19ea6","POINTS_PLOTTED","1","uncovered","","Existing canonical text does not explicitly satisfy this stored graph-construction criterion; no prose drafted."
"APSTATS-HDG-2026-GRAPH-033","26d6805b-a82d-4db8-b0b2-9a6a73a19ea6","TREND_LINE","1","covered","1",""
"APSTATS-SFRQ-001","ec218044-fa22-45a3-9371-7fce48c108e8","a1","1","covered","0",""
"APSTATS-SFRQ-001","ec218044-fa22-45a3-9371-7fce48c108e8","b1","1","covered","1",""
"APSTATS-SFRQ-001","ec218044-fa22-45a3-9371-7fce48c108e8","c1","1","covered","2",""
"APSTATS-SFRQ-001","ec218044-fa22-45a3-9371-7fce48c108e8","d1","1","covered","3",""
"APSTATS-SFRQ-002","1dd34081-fec3-4055-859a-501de5407187","a","2","covered","0|1",""
"APSTATS-SFRQ-002","1dd34081-fec3-4055-859a-501de5407187","b","1","covered","2",""
"APSTATS-SFRQ-002","1dd34081-fec3-4055-859a-501de5407187","c","1","covered","3",""
"APSTATS-SFRQ-003","bcfbc4de-a31c-4957-8137-70b589495688","a","1","covered","0",""
"APSTATS-SFRQ-003","bcfbc4de-a31c-4957-8137-70b589495688","b","1","covered","1",""
"APSTATS-SFRQ-003","bcfbc4de-a31c-4957-8137-70b589495688","c","2","covered","2|3",""
"APSTATS-SFRQ-004","81ce57bf-b576-4d7d-818c-d73eb2a3b952","a","1","covered","0",""
"APSTATS-SFRQ-004","81ce57bf-b576-4d7d-818c-d73eb2a3b952","b","2","covered","1|2",""
"APSTATS-SFRQ-004","81ce57bf-b576-4d7d-818c-d73eb2a3b952","c","1","covered","3",""
"APSTATS-SFRQ-005","0838c753-d383-48c5-a22f-aab1672eae4f","a1","1","covered","0",""
"APSTATS-SFRQ-005","0838c753-d383-48c5-a22f-aab1672eae4f","b1","1","covered","1",""
"APSTATS-SFRQ-005","0838c753-d383-48c5-a22f-aab1672eae4f","c1","1","covered","2",""
"APSTATS-SFRQ-005","0838c753-d383-48c5-a22f-aab1672eae4f","d1","1","covered","3",""
"APSTATS-SFRQ-007","07ef9bbb-739d-4807-9928-ef02b7d7583f","a","1","covered","0",""
"APSTATS-SFRQ-007","07ef9bbb-739d-4807-9928-ef02b7d7583f","b","2","covered","1|2",""
"APSTATS-SFRQ-007","07ef9bbb-739d-4807-9928-ef02b7d7583f","c","1","covered","3",""
"APSTATS-SFRQ-008","efc05957-06a3-4b0e-8097-9926841fdaff","a","2","covered","0|1",""
"APSTATS-SFRQ-008","efc05957-06a3-4b0e-8097-9926841fdaff","b","1","covered","2",""
"APSTATS-SFRQ-008","efc05957-06a3-4b0e-8097-9926841fdaff","c","1","covered","3",""
"APSTATS-SFRQ-009","22c1824d-b601-4050-83ae-edb18b8e98bb","a","3","covered","0|1|2",""
"APSTATS-SFRQ-009","22c1824d-b601-4050-83ae-edb18b8e98bb","b","1","covered","3",""
"APSTATS-SFRQ-010","7abbb85e-a697-4db6-bea8-b363bea8f36e","a","3","covered","0|1|2",""
"APSTATS-SFRQ-010","7abbb85e-a697-4db6-bea8-b363bea8f36e","b","1","covered","3",""
"APSTATS-SFRQ-011","9c9ba44a-5dd0-4d74-8e92-a61791710194","a","1","covered","0",""
"APSTATS-SFRQ-011","9c9ba44a-5dd0-4d74-8e92-a61791710194","b","2","covered","1|2",""
"APSTATS-SFRQ-011","9c9ba44a-5dd0-4d74-8e92-a61791710194","c","1","covered","3",""
"APSTATS-SFRQ-012","75042cc3-3d10-45ee-ba37-fc37d552f32a","a","1","covered","0",""
"APSTATS-SFRQ-012","75042cc3-3d10-45ee-ba37-fc37d552f32a","b","2","covered","1|2",""
"APSTATS-SFRQ-012","75042cc3-3d10-45ee-ba37-fc37d552f32a","c","1","covered","3",""
"APSTATS-SFRQ-013","06881854-e997-4b97-a234-ff12ae8f7652","a","1","covered","0",""
"APSTATS-SFRQ-013","06881854-e997-4b97-a234-ff12ae8f7652","b","2","covered","1|2",""
"APSTATS-SFRQ-013","06881854-e997-4b97-a234-ff12ae8f7652","c","1","covered","3",""
"APSTATS-SFRQ-014","ab3889f2-3d52-46fd-bb66-8bb0621e7ed5","a","1","covered","0",""
"APSTATS-SFRQ-014","ab3889f2-3d52-46fd-bb66-8bb0621e7ed5","b","2","covered","1|2",""
"APSTATS-SFRQ-014","ab3889f2-3d52-46fd-bb66-8bb0621e7ed5","c","1","covered","3",""
"APSTATS-SFRQ-016","610f6069-076d-496c-af58-0ee910308b30","a","1","covered","0",""
"APSTATS-SFRQ-016","610f6069-076d-496c-af58-0ee910308b30","b","2","covered","1|2",""
"APSTATS-SFRQ-016","610f6069-076d-496c-af58-0ee910308b30","c","1","covered","3",""
