finding_id,target_file,content_item_id,content_key,subject_key,assigned_topic,issue_type,severity,explanation,suggested_fix
TL-039,topic_labels_proposal.csv,2ccbc0dc-6539-402c-b1e4-623d99db6116,apstat-compare_stats-090017,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-040,topic_labels_proposal.csv,45e7e50e-6ccf-4054-8d06-891f05f615c5,apstat-compare_stats-090018,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-041,topic_labels_proposal.csv,16367987-197b-4fd5-848a-95ba4d8bebf0,apstat-compare_stats-090019,ap-statistics,1.7,topic_off_by_one,high,Item compares the distributions of two groups. 1.7 is summary statistics for ONE quantitative variable.,Reassign to 1.9 Comparisons of the Distributions for One Quantitative Variable
TL-042,topic_labels_proposal.csv,5b23352c-c3fa-4a0c-8933-8a4b7ffaf945,apstat-lsrl_predict-005000,ap-statistics,1.3,wrong_unit,high,"Item is about regression/slope/correlation, which is Unit 5 Regression Analysis, not Unit 1.",Reassign within Unit 5 (5.2 Correlation / 5.3 Linear Regression Models / 5.5 Least-Squares Regression)
TL-043,topic_labels_proposal.csv,4bb5c2f8-0ab8-4227-8f66-6b6def95b136,apstat-lsrl_predict-005001,ap-statistics,1.3,wrong_unit,high,"Item is about regression/slope/correlation, which is Unit 5 Regression Analysis, not Unit 1.",Reassign within Unit 5 (5.2 Correlation / 5.3 Linear Regression Models / 5.5 Least-Squares Regression)
TL-044,topic_labels_proposal.csv,965cf0d2-3f37-4944-ab8e-3b4a8be1b652,apstat-lsrl_predict-005002,ap-statistics,1.3,wrong_unit,high,"Item is about regression/slope/correlation, which is Unit 5 Regression Analysis, not Unit 1.",Reassign within Unit 5 (5.2 Correlation / 5.3 Linear Regression Models / 5.5 Least-Squares Regression)
TL-045,topic_labels_proposal.csv,c4065503-53cb-4638-b4a5-509ea51f5832,apstat-u1-11-2a-sampling-101001,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-046,topic_labels_proposal.csv,317421de-3cf0-42d7-b77b-0020b7fe8161,apstat-u1-11-2a-sampling-101002,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-047,topic_labels_proposal.csv,0cb5ece5-3e26-480c-bfca-4d9c478c3a6c,apstat-u1-11-2a-sampling-101004,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-048,topic_labels_proposal.csv,b4248cbe-53e4-4672-ab53-79d272f2358a,apstat-u1-11-2a-sampling-101006,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-049,topic_labels_proposal.csv,3c95c5c6-9ceb-4259-9b6e-489b7df8449c,apstat-u1-11-2a-sampling-101011,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-050,topic_labels_proposal.csv,69d691b2-ab0e-4ef4-82d6-57f74a749145,apstat-u1-11-2a-sampling-101012,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-051,topic_labels_proposal.csv,f9bc58a1-cf19-4bf8-a13f-773b1df6154a,apstat-u1-11-2a-sampling-101013,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-052,topic_labels_proposal.csv,6eddea6b-645a-4c02-9af1-880c64505fdb,apstat-u1-11-2a-sampling-101015,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-053,topic_labels_proposal.csv,06229693-b034-4e11-b074-4937da5fc2d3,apstat-u1-11-2a-sampling-101016,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-054,topic_labels_proposal.csv,423e45b5-0ce4-4a9c-bdb9-c5c695ab4cfd,apstat-u1-11-2a-sampling-101018,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-055,topic_labels_proposal.csv,842aa22c-4a0d-49cc-b91c-4f994f30d2db,apstat-u1-11-2a-sampling-101019,ap-statistics,4.1,sampling_method_vs_distribution,high,"Item asks which sampling METHOD a described plan uses. Assigned topic is not a sampling-method topic; 4.1 in particular is Sampling Distributions for Sample Means, a different concept.",Reassign to 1.11 Random Sampling or 1.12 Potential Problems with Sampling
TL-056,topic_labels_proposal.csv,771a639a-1537-48bc-9807-f91675e701f2,APSTATS-MCQ-036,ap-statistics,1.3,wrong_unit,high,"Item is about regression/slope/correlation, which is Unit 5 Regression Analysis, not Unit 1.",Reassign within Unit 5 (5.2 Correlation / 5.3 Linear Regression Models / 5.5 Least-Squares Regression)
TL-057,topic_labels_proposal.csv,87874651-60bb-40cc-a634-2ce196ad996d,APBIO-HDG-2026-GRAPH-002,biology,3.2,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-058,topic_labels_proposal.csv,b738b319-8146-43d5-a2c4-5b292e1f1943,APBIO-HDG-2026-GRAPH-003,biology,7.1,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-059,topic_labels_proposal.csv,001fef04-5272-4c9d-9d2b-cde19287bcc7,APBIO-HDG-2026-GRAPH-008,biology,8.2,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-060,topic_labels_proposal.csv,3db8a97a-baaf-4ff4-9110-06dd4bc91892,APBIO-HDG-2026-GRAPH-010,biology,8.3,uninformative_stem,medium,Graph-construction item whose stem is a boilerplate photo-submission instruction; the assigned topic cannot have been derived from the stem.,"Re-derive from the rubric/stimulus, or route to human; do not accept a stem-derived label here"
TL-061,topic_labels_proposal.csv,5dca442d-b798-4ce8-9b1a-03ccfaf7aecc,APBIO-FRQ-L-008,biology,1.1,topic_misassigned,high,Osmosis / water-potential investigation assigned to 1.1 Structure of Water and Hydrogen Bonding.,Reassign to 2.7 Tonicity and Osmoregulation
TL-062,topic_labels_proposal.csv,bf484484-9ce9-45fc-ab45-49b88ae745e7,APBIO-FRQ-S-071,biology,1.1,topic_misassigned,high,Osmosis / water-potential investigation assigned to 1.1 Structure of Water and Hydrogen Bonding.,Reassign to 2.7 Tonicity and Osmoregulation
